jd_text,cv_text,score,type
"Seeking an Intern Software Developer proficient in Python, Java, C#, JavaScript, HTML, CSS. Must have experience with Spring Boot, Spring Security, Spring Data JPA, ASP.NET Core MVC, Entity Framework Core. Familiarity with TensorFlow, Keras, PyTorch, Thymeleaf, and Bootstrap is essential for developing full-stack applications and AI components.","Role: Software Developer (Intern). Skills: Python, Java, C#, JavaScript, HTML, CSS, Spring Boot, Spring Security, Spring Data JPA, ASP.NET Core MVC, Entity Framework Core, TensorFlow, Keras, PyTorch, Thymeleaf, Bootstrap.",1.0,Positive
"Join us as an Intern AI Engineer. Must be proficient in Python, C, Java, Pandas, Numpy, Matplotlib, Seaborn, OpenCV, PyTorch, TensorFlow, Ultralytics. Experience with LangChain, Gradio, Transformer, YOLO, Torch, and crawl4ai is essential for developing and deploying advanced artificial intelligence models and solutions.","Role: AI Engineer (Intern). Skills: Python, C, Java, Pandas, Numpy, Matplotlib, Seaborn, OpenCV, PyTorch, TensorFlow, Ultralytics, LangChain, Gradio, Transformer, YOLO, Torch, crawl4ai.",1.0,Positive
"We need an Intern Frontend Developer with strong skills in HTML, CSS, JavaScript, and TypeScript. Proficiency in PHP, React.js, Vite, and Tailwind CSS is crucial. Experience with Node.js is also required for building responsive, modern user interfaces and dynamic web applications.","Role: Frontend Developer (Intern). Skills: HTML, CSS, JavaScript, TypeScript, PHP, React.js, Vite, Tailwind CSS, Node.js.",1.0,Positive
"Seeking an Intern Tester with fundamental knowledge of HTML, CSS, and SQL. This role involves assisting in web application testing, ensuring UI/UX consistency, and validating data integrity using SQL queries. The ideal candidate will support quality assurance efforts for various projects.","Role: Tester (Intern). Skills: HTML, CSS, SQL.",1.0,Positive
"We're hiring an Intern AI Engineer. Candidates must possess strong programming skills in Python and Java. Essential experience includes PyTorch for developing and implementing machine learning models. This role focuses on supporting AI research and development initiatives, contributing to innovative solutions.","Role: AI Engineer (Intern). Skills: Python, Java, PyTorch.",1.0,Positive
"Seeking an Intern Software Developer proficient in Python, Java, and JavaScript. Ideal candidates should have experience with Spring Boot, Entity Framework Core, and basic TensorFlow. Interest in cloud platforms like AWS and containerization with Docker is a plus, along with eagerness to learn Go for new microservices. Build impactful applications with us!","Role: Software Developer (Intern). Skills: Python, Java, C#, JavaScript, HTML, CSS, Spring Boot, Spring Security, Spring Data JPA, ASP.NET Core MVC, Entity Framework Core, TensorFlow, Keras, PyTorch, Thymeleaf, Bootstrap.",0.6,Partial
"Intern AI Engineer wanted. Must have strong Python skills with experience in Pandas, Numpy, and OpenCV. Familiarity with deep learning frameworks like PyTorch and TensorFlow, plus LangChain and YOLO, is key. Eagerness to learn Scikit-learn, AWS SageMaker, and MLOps practices is highly valued. Join our innovative AI team!","Role: AI Engineer (Intern). Skills: Python, C, Java, Pandas, Numpy, Matplotlib, Seaborn, OpenCV, PyTorch, TensorFlow, Ultralytics, LangChain, Gradio, Transformer, YOLO, Torch, crawl4ai.",0.6,Partial
"Intern Frontend Developer sought. Proficient in HTML, CSS, JavaScript, React.js, and Tailwind CSS. Candidates should demonstrate a strong understanding of modern web development principles. Enthusiasm for learning Angular, GraphQL, and testing frameworks like Jest is a plus. Contribute to building dynamic user interfaces and engaging web experiences.","Role: Frontend Developer (Intern). Skills: HTML, CSS, JavaScript, TypeScript, PHP, React.js, Vite, Tailwind CSS, Node.js.",0.6,Partial
"Intern Tester needed! Basic understanding of SQL and HTML is required. The ideal candidate will assist in manual testing and test case documentation. A strong interest in learning test automation tools like Selenium, issue tracking with JIRA, and scripting with Python is highly valued. Help ensure our software quality.","Role: Tester (Intern). Skills: HTML, CSS, SQL.",0.6,Partial
"Seeking an Intern AI Engineer with foundational Python and PyTorch skills. Candidates should be eager to contribute to machine learning model development and data analysis. Interest in acquiring new skills like TensorFlow, Scikit-learn, and data manipulation with Pandas is crucial. Join us to innovate in artificial intelligence.","Role: AI Engineer (Intern). Skills: Python, Java, PyTorch.",0.6,Partial
