jd_text,cv_text,score
"**Junior Fullstack Developer - Mobile & Cloud Focus**

We are seeking a highly motivated Junior Fullstack Developer to join our agile team, specializing in cross-platform mobile application development. The ideal candidate will possess a strong foundation in Flutter, Dart, and UI design, with hands-on experience in Firebase for real-time data synchronization and authentication. You will contribute to integrating Google Cloud APIs, optimizing application performance, and collaborating on innovative projects. A proactive attitude and a passion for building user-centric solutions are essential for this role.","ID: CV_59.json
Role: IT Intern
Skills: Python, Java, C#, Kotlin, Firebase, MySQL, Git, OpenCV, Android Studio, Visual Studio, PySpark, Google Colab, Kaggle, TensorFlow, PyTorch
Exp: 0 years.",0.7
"**Junior Fullstack Developer - Mobile & Cloud Focus**

We are seeking a highly motivated Junior Fullstack Developer to join our agile team, specializing in cross-platform mobile application development. The ideal candidate will possess a strong foundation in Flutter, Dart, and UI design, with hands-on experience in Firebase for real-time data synchronization and authentication. You will contribute to integrating Google Cloud APIs, optimizing application performance, and collaborating on innovative projects. A proactive attitude and a passion for building user-centric solutions are essential for this role.","ID: CV_47.json
Role: AI Developer, Machine Learning Engineer, System Developer, ERP Consultant
Skills: Python, SQL, APIs, SDLC, Flowise, Streamlit, Odoo, Git, GitHub, MS Office, Jira, Communication, Teamwork, Time Management
Exp: 0 years.",0.1
"**Junior Fullstack Developer - Mobile & Cloud Focus**

We are seeking a highly motivated Junior Fullstack Developer to join our agile team, specializing in cross-platform mobile application development. The ideal candidate will possess a strong foundation in Flutter, Dart, and UI design, with hands-on experience in Firebase for real-time data synchronization and authentication. You will contribute to integrating Google Cloud APIs, optimizing application performance, and collaborating on innovative projects. A proactive attitude and a passion for building user-centric solutions are essential for this role.","ID: CV_84.json
Role: Web Developer, Software Developer, Network Security Researcher, Machine Learning Engineer, Game & Robotics Instructor
Skills: C#, Python, JavaScript, HTML, CSS, SQL, MongoDB, Network Configuration, Linux, Security Testing, Problem-solving, Adaptability, Mentoring, Communication
Exp: 0 years.",0.2
"**Junior Fullstack Developer - Mobile & Cloud Focus**

We are seeking a highly motivated Junior Fullstack Developer to join our agile team, specializing in cross-platform mobile application development. The ideal candidate will possess a strong foundation in Flutter, Dart, and UI design, with hands-on experience in Firebase for real-time data synchronization and authentication. You will contribute to integrating Google Cloud APIs, optimizing application performance, and collaborating on innovative projects. A proactive attitude and a passion for building user-centric solutions are essential for this role.","ID: CV_23.json
Role: Software Developer, Full-Stack Developer
Skills: Java, JavaScript, Spring Boot, Spring Cloud, React, Axon Framework, Microservices, CQRS, Event Sourcing, Docker, Kubernetes, Apache Kafka, MySQL, Git/GitHub, Keycloak
Exp: 0 years.",0.4
"**Junior Fullstack Developer - Mobile & Cloud Focus**

We are seeking a highly motivated Junior Fullstack Developer to join our agile team, specializing in cross-platform mobile application development. The ideal candidate will possess a strong foundation in Flutter, Dart, and UI design, with hands-on experience in Firebase for real-time data synchronization and authentication. You will contribute to integrating Google Cloud APIs, optimizing application performance, and collaborating on innovative projects. A proactive attitude and a passion for building user-centric solutions are essential for this role.","ID: CV_20.json
Role: Business Staff
Skills: Python, SQL, JavaScript, Java, C#, HTML, CSS, Node.js, Classic Machine Learning, Business Intelligence, Enterprise Information System Management
Exp: 1 years.",0.2
"**Junior Fullstack Developer - Mobile & Cloud Focus**

We are seeking a highly motivated Junior Fullstack Developer to join our agile team, specializing in cross-platform mobile application development. The ideal candidate will possess a strong foundation in Flutter, Dart, and UI design, with hands-on experience in Firebase for real-time data synchronization and authentication. You will contribute to integrating Google Cloud APIs, optimizing application performance, and collaborating on innovative projects. A proactive attitude and a passion for building user-centric solutions are essential for this role.","ID: CV_88.json
Role: Web Developer
Skills: HTML, CSS, Javascript, Jquery, Bootstrap, ReactJS, PHP, C#, Java, Spring Boot, ASP.NET, Node.js, Express, Docker
Exp: 0 years.",0.1
"**Junior Fullstack Developer - Mobile & Cloud Focus**

We are seeking a highly motivated Junior Fullstack Developer to join our agile team, specializing in cross-platform mobile application development. The ideal candidate will possess a strong foundation in Flutter, Dart, and UI design, with hands-on experience in Firebase for real-time data synchronization and authentication. You will contribute to integrating Google Cloud APIs, optimizing application performance, and collaborating on innovative projects. A proactive attitude and a passion for building user-centric solutions are essential for this role.","ID: CV_82.json
Role: 
Skills: English communication, Teamwork, Self-learning and quick adaptation, Time management
Exp: 0 years.",0.0
"**Junior Fullstack Developer - Mobile & Cloud Focus**

We are seeking a highly motivated Junior Fullstack Developer to join our agile team, specializing in cross-platform mobile application development. The ideal candidate will possess a strong foundation in Flutter, Dart, and UI design, with hands-on experience in Firebase for real-time data synchronization and authentication. You will contribute to integrating Google Cloud APIs, optimizing application performance, and collaborating on innovative projects. A proactive attitude and a passion for building user-centric solutions are essential for this role.","ID: CV_73.json
Role: Game Developer
Skills: Unity, C#, Excel, Word, Powerpoint
Exp: 0 years.",0.0
"**Junior Fullstack Developer - Mobile & Cloud Focus**

We are seeking a highly motivated Junior Fullstack Developer to join our agile team, specializing in cross-platform mobile application development. The ideal candidate will possess a strong foundation in Flutter, Dart, and UI design, with hands-on experience in Firebase for real-time data synchronization and authentication. You will contribute to integrating Google Cloud APIs, optimizing application performance, and collaborating on innovative projects. A proactive attitude and a passion for building user-centric solutions are essential for this role.","ID: CV_65.json
Role: Mobile Developer
Skills: Flutter, NestJS, React Native, React, Dart, JavaScript, TypeScript, Java, SQLite, GetX, Provider, Riverpod, UI Design, Backend Development, Team Leadership
Exp: 0 years.",0.9
"**Junior Fullstack Developer - Mobile & Cloud Focus**

We are seeking a highly motivated Junior Fullstack Developer to join our agile team, specializing in cross-platform mobile application development. The ideal candidate will possess a strong foundation in Flutter, Dart, and UI design, with hands-on experience in Firebase for real-time data synchronization and authentication. You will contribute to integrating Google Cloud APIs, optimizing application performance, and collaborating on innovative projects. A proactive attitude and a passion for building user-centric solutions are essential for this role.","ID: CV_69.json
Role: Programmer, Software Tester
Skills: Python, HTML, CSS, Javascript, SQL, IndexedDB, PostgreSQL, Prisma (ORM), Dexie.js, IntelliJ, Visual Studio, Visual Studio Code, PyCharm, Typescript, Teamwork
Exp: 0 years.",0.2
